Initialized Leader-Leader with shard map:
  shard_0 -> 127.0.0.1:5001
  shard_1 -> 127.0.0.1:5020
  shard_2 -> 127.0.0.1:5040
Leader-Leader server started on 127.0.0.1:5000
Leader-Leader: forwarding Get(kai)
Leader-Leader: forwarding Set(ivy)
Leader-Leader: forwarding Set(june)
Leader-Leader: forwarding Delete(max)
Leader-Leader: forwarding Set(leo)
Leader-Leader: forwarding Get(kira)
Leader-Leader: forwarding Set(bryn)
Leader-Leader: forwarding Set(max)
Leader-Leader: forwarding Set(zoe)
Leader-Leader: forwarding Delete(zoe)
Leader-Leader: forwarding Set(li)
Leader-Leader: forwarding Set(ren)
Leader-Leader: forwarding Set(ada)
Leader-Leader: forwarding Delete(lina)
Leader-Leader: forwarding Set(ellen)
Leader-Leader: forwarding Get(lina)
Leader-Leader: forwarding Delete(ari)
Leader-Leader: forwarding Delete(ren)
Leader-Leader: forwarding Set(ren)
Leader-Leader: forwarding Get(niko)
Leader-Leader: forwarding Delete(kira)
Leader-Leader: forwarding Set(daniel)
Leader-Leader: forwarding Get(noah)
Leader-Leader: forwarding Set(yinan)
Leader-Leader: forwarding Set(ellen)
Leader-Leader: forwarding Get(ellen)
Leader-Leader: forwarding Set(emery)
Leader-Leader: forwarding Set(ivy)
Leader-Leader: forwarding Set(ada)
Leader-Leader: forwarding Set(avi)
Leader-Leader: forwarding Set(yinan)
Leader-Leader: forwarding Set(niko)
Leader-Leader: forwarding Set(ravi)
Leader-Leader: forwarding Get(jamie)
Leader-Leader: forwarding Get(sana)
Leader-Leader: forwarding Set(niko)
Leader-Leader: forwarding Set(li)
Leader-Leader: forwarding Delete(li)
Leader-Leader: forwarding Set(daniel)
Leader-Leader: forwarding Set(sana)
Leader-Leader: forwarding Get(sana)
Leader-Leader: forwarding Get(avi)
Leader-Leader: forwarding Set(noah)
Leader-Leader: forwarding Set(alayna)
Leader-Leader: forwarding Set(lina)
Leader-Leader: forwarding Get(ari)
Leader-Leader: forwarding Set(sana)
Leader-Leader: forwarding Delete(sana)
Leader-Leader: forwarding Get(ellen)
